ingredient,pairings
pork (n. moledules),"['beer', 'coffee', 'chicken', 'tea', 'cocoa', 'chocolate', 'peanut', 'peanut butter', 'tomato', 'butter']"
pork (word emb.),"['turkey', 'beer', 'beef', 'marjoram', 'chicken', 'star anise', 'shiitake', 'okra', 'lamb', 'caraway']"
port wine (weighted),"['plum wine', 'rose wine', 'champagne', 'sherry', 'red wine', 'strawberry wine', 'wine', 'sparkling wine', 'white wine', 'blue cheese']"
port wine (n. moledules),"['sherry', 'white wine', 'strawberry wine', 'red wine', 'sparkling wine', 'wine', 'rose wine', 'plum wine', 'champagne', 'beer']"
port wine (word emb.),"['red currant', 'brandy', 'chestnut', 'lingonberry', 'fig', 'summer savory', 'quince', 'bartlett pear', 'rose wine', 'black currant']"
potato (weighted),"['tomato', 'rice', 'pepper', 'mushroom', 'asparagus', 'corn', 'soybean', 'green beans', 'olive oil', 'peas']"
potato (n. moledules),"['tea', 'tomato', 'chocolate', 'cocoa', 'soybean', 'mushroom', 'peanut', 'peanut butter', 'guava', 'apple']"
potato (word emb.),"['turnip', 'parsnip', 'macaroni', 'marjoram', 'lima beans', 'lentils', 'cauliflower', 'leek', 'rutabaga', 'white pepper']"
prickly pear (weighted),"['alfalfa', 'chervil', 'cassava', 'artichoke', 'lentils', 'mung bean', 'pumpkin', 'dates', 'japanese pumpkin', 'chickpea']"
prickly pear (n. moledules),"['tea', 'tomato', 'papaya', 'guava', 'passionfruit', 'pineapple', 'starfruit', 'mango', 'melon', 'grape']"
prickly pear (word emb.),"['kiwifruit', 'passionfruit', 'guava', 'cherimoya', 'blackberry brandy', 'starfruit', 'cherry brandy', 'elderberry', 'malt whisky', 'litchi']"
provolone cheese (weighted),"['comte cheese', 'mozzarella cheese', 'romano cheese', 'munster cheese', 'camembert cheese', 'emmental cheese', 'roquefort cheese', 'goat cheese', 'cottage cheese', 'feta cheese']"
provolone cheese (n. moledules),"['blue cheese', 'cheddar cheese', 'parmesan cheese', 'comte cheese', 'romano cheese', 'goat cheese', 'camembert cheese', 'sheep cheese', 'cottage cheese', 'limburger cheese']"
provolone cheese (word emb.),"['mozzarella cheese', 'romano cheese', 'swiss cheese', 'parmesan cheese', 'cheese', 'ricotta cheese', 'artichoke', 'rocket salad', 'cottage cheese', 'feta cheese']"
pummelo (weighted),"['borage', 'capers', 'arrowroot', 'lemon grass', 'wasabi', 'water chestnut', 'saffron', 'shallot', 'carob', 'summer savory']"
pummelo (n. moledules),"['orange', 'lime', 'mandarin orange', 'lemon', 'coriander', 'basil', 'rosemary', 'peppermint', 'marjoram', 'oregano']"
pummelo (word emb.),"['valerian', 'bilberry', 'japanese whisky', 'white currant', 'feijoa', 'wheaten bread', 'canadian whisky', 'citronella', 'plumcot', 'cloudberry']"
pumpkin (weighted),"['rye', 'alfalfa', 'chervil', 'japanese pumpkin', 'cassava', 'artichoke', 'dates', 'garden cress', 'chard', 'mung bean']"
pumpkin (n. moledules),"['asparagus', 'tea', 'potato', 'green beans', 'peanut butter', 'peas', 'pepper', 'spinach', 'tomato', 'peanut']"
pumpkin (word emb.),"['sweet potato', 'vanilla', 'raisin', 'oats', 'cocoa', 'pecan', 'cinnamon', 'allspice', 'cardamom', 'buttermilk']"
quince (weighted),"['pistachio', 'pear', 'cashew nut', 'hazelnut', 'avocado', 'brazil nut', 'zucchini', 'brussels sprout', 'japanese pumpkin', 'lentils']"
quince (n. moledules),"['grape', 'apple', 'apricot', 'tea', 'strawberry', 'passionfruit', 'banana', 'plum', 'mango', 'tomato']"
quince (word emb.),"['bartlett pear', 'apple brandy', 'black currant', 'kumquat', 'red currant', 'persimmon', 'black tea', 'gooseberry', 'fig', 'angelica']"
radish (weighted),"['watercress', 'mung bean', 'japanese pumpkin', 'dates', 'garden cress', 'chard', 'dandelion', 'turnip', 'chicory', 'alfalfa']"
radish (n. moledules),"['cabbage', 'cauliflower', 'apple', 'broccoli', 'tomato', 'guava', 'kohlrabi', 'elderberry', 'strawberry', 'mango']"
radish (word emb.),"['wasabi', 'kohlrabi', 'watercress', 'salmon', 'alfalfa', 'lettuce', 'cabbage', 'kelp', 'beetroot', 'bonito']"
raisin (weighted),"['nut', 'corn oil', 'licorice', 'rose', 'parmesan cheese', 'sheep cheese', 'cream cheese', 'goat cheese', 'camembert cheese', 'roquefort cheese']"
raisin (n. moledules),"['rice', 'tomato', 'tea', 'mushroom', 'beans', 'green beans', 'lima beans', 'potato', 'guava', 'passionfruit']"
raisin (word emb.),"['dates', 'vanilla', 'brazil nut', 'pumpkin', 'banana', 'cranberry', 'cardamom', 'allspice', 'sour cherry', 'pecan']"
raspberry (weighted),"['cranberry', 'gooseberry', 'buckwheat', 'brazil nut', 'pistachio', 'almond', 'lingonberry', 'hazelnut', 'rhubarb', 'red currant']"
raspberry (n. moledules),"['tea', 'strawberry', 'grape', 'apple', 'tomato', 'mango', 'apricot', 'black currant', 'cranberry', 'papaya']"
raspberry (word emb.),"['blackberry brandy', 'strawberry', 'blackberry', 'red raspberry', 'lemon balm', 'kiwifruit', 'peach', 'black raspberry', 'melon', 'starfruit']"
raspberry brandy (weighted),"['brandy', 'cherry brandy', 'blackberry brandy', 'pear brandy', 'plum brandy', 'apple brandy', 'rose wine', 'canadian whisky', 'plum wine', 'malt whisky']"
raspberry brandy (n. moledules),"['apple brandy', 'cherry brandy', 'blackberry brandy', 'brandy', 'plum brandy', 'pear brandy', 'sherry', 'white wine', 'rum', 'port wine']"
raspberry brandy (word emb.),"['black raspberry', 'red raspberry', 'cherimoya', 'white currant', 'litchi', 'loganberry', 'scotch whisky', 'cloudberry', 'malt whisky', 'satsuma orange']"
red currant (weighted),"['plum', 'pistachio', 'pomegranate', 'hazelnut', 'brazil nut', 'black currant', 'wheat', 'lingonberry', 'cashew nut', 'sweet potato']"
red currant (n. moledules),"['black currant', 'tea', 'plum', 'tomato', 'peach', 'grape', 'apple', 'guava', 'pineapple', 'orange']"
red currant (word emb.),"['black currant', 'quince', 'blackberry', 'port wine', 'gooseberry', 'apple brandy', 'rhubarb', 'brandy', 'rose wine', 'lingonberry']"
red raspberry (weighted),"['carob', 'ginkgo nuts', 'japanese persimmon', 'arrowroot', 'zucchini', 'borage', 'capers', 'pistachio', 'hazelnut', 'shallot']"
red raspberry (n. moledules),"['tea', 'grape', 'pepper', 'raspberry', 'apple', 'tomato', 'potato', 'mango', 'green beans', 'corn']"
red raspberry (word emb.),"['black raspberry', 'raspberry brandy', 'blackberry brandy', 'loganberry', 'cherry brandy', 'white currant', 'elderberry', 'passionfruit', 'cherimoya', 'blackberry']"
red wine (weighted),"['plum wine', 'white wine', 'rose wine', 'champagne', 'port wine', 'strawberry wine', 'sherry', 'wine', 'sparkling wine', 'cheddar cheese']"
red wine (n. moledules),"['white wine', 'sherry', 'sparkling wine', 'port wine', 'strawberry wine', 'rose wine', 'wine', 'plum wine', 'champagne', 'beer']"
red wine (word emb.),"['white wine', 'marjoram', 'rosemary', 'plum', 'parsnip', 'olive', 'lamb', 'kidney beans', 'romano cheese', 'goat cheese']"
rhubarb (weighted),"['pistachio', 'hazelnut', 'almond', 'brazil nut', 'lentils', 'zucchini', 'chickpea', 'rye', 'cashew nut', 'beetroot']"
rhubarb (n. moledules),"['grape', 'tomato', 'apple', 'tea', 'corn', 'strawberry', 'green beans', 'cranberry', 'mango', 'chocolate']"
rhubarb (word emb.),"['blackberry', 'blueberry', 'black currant', 'elderberry', 'red currant', 'black raspberry', 'red raspberry', 'gooseberry', 'loganberry', 'peach']"
rice (weighted),"['soybean', 'mushroom', 'buckwheat', 'oats', 'asparagus', 'potato', 'tomato', 'green beans', 'peas', 'sesame']"
rice (n. moledules),"['tea', 'soybean', 'cocoa', 'chocolate', 'tomato', 'mushroom', 'guava', 'potato', 'mango', 'green beans']"
rice (word emb.),"['peanut oil', 'sake', 'water chestnut', 'mung bean', 'soybean', 'oyster', 'sherry', 'bonito', 'wasabi', 'kelp']"
ricotta cheese (weighted),"['camembert cheese', 'provolone cheese', 'white pepper', 'feta cheese', 'sheep cheese', 'goat cheese', 'comte cheese', 'romano cheese', 'truffle', 'citrus']"
ricotta cheese (n. moledules),"['spearmint', 'orange', 'black currant', 'allspice', 'tea', 'dill', 'laurel', 'celery', 'parsley', 'pepper']"
ricotta cheese (word emb.),"['cottage cheese', 'romano cheese', 'provolone cheese', 'artichoke', 'parmesan cheese', 'bread', 'mozzarella cheese', 'nut', 'zucchini', 'gruyere cheese']"
rocket salad (weighted),"['wasabi', 'kelp', 'water chestnut', 'borage', 'arrowroot', 'capers', 'japanese persimmon', 'burdock', 'shiitake', 'artichoke']"
rocket salad (n. moledules),"['tea', 'lemon', 'orange', 'thyme', 'basil', 'guava', 'spearmint', 'apple', 'coriander', 'mandarin orange']"
rocket salad (word emb.),"['bilberry', 'munster cheese', 'sapodilla', 'valerian', 'wheaten bread', 'limburger cheese', 'pummelo', 'garden cress', 'fatty fish', 'sheep cheese']"
romano cheese (weighted),"['goat cheese', 'roquefort cheese', 'mozzarella cheese', 'munster cheese', 'feta cheese', 'sheep cheese', 'emmental cheese', 'provolone cheese', 'comte cheese', 'cream cheese']"
romano cheese (n. moledules),"['parmesan cheese', 'goat cheese', 'cheddar cheese', 'provolone cheese', 'blue cheese', 'sheep cheese', 'swiss cheese', 'feta cheese', 'gruyere cheese', 'camembert cheese']"
romano cheese (word emb.),"['parmesan cheese', 'provolone cheese', 'mozzarella cheese', 'artichoke', 'ricotta cheese', 'chard', 'goat cheese', 'zucchini', 'olive', 'eggplant']"
roquefort cheese (weighted),"['goat cheese', 'romano cheese', 'munster cheese', 'feta cheese', 'emmental cheese', 'sheep cheese', 'mozzarella cheese', 'comte cheese', 'cream cheese', 'provolone cheese']"
roquefort cheese (n. moledules),"['blue cheese', 'cheddar cheese', 'provolone cheese', 'gruyere cheese', 'goat cheese', 'parmesan cheese', 'swiss cheese', 'feta cheese', 'cottage cheese', 'romano cheese']"
roquefort cheese (word emb.),"['blue cheese', 'endive', 'chicory', 'camembert cheese', 'watercress', 'goat cheese', 'dandelion', 'tarragon', 'chervil', 'gruyere cheese']"
rose (weighted),"['raisin', 'corn oil', 'cider', 'white wine', 'mate', 'gruyere cheese', 'sheep cheese', 'swiss cheese', 'feta cheese', 'goat cheese']"
rose (n. moledules),"['carrot', 'tea', 'blackberry', 'black currant', 'lemon balm', 'tomato', 'apple', 'nutmeg', 'spearmint', 'lovage']"
rose (word emb.),"['lavender', 'lemon balm', 'eucalyptus', 'winter savory', 'chamomile', 'pomegranate', 'fig', 'tea', 'summer savory', 'rose wine']"
rose wine (weighted),"['plum wine', 'champagne', 'port wine', 'strawberry wine', 'red wine', 'sherry', 'sparkling wine', 'white wine', 'wine', 'blue cheese']"
rose wine (n. moledules),"['red wine', 'white wine', 'sherry', 'port wine', 'strawberry wine', 'champagne', 'plum wine', 'sparkling wine', 'wine', 'beer']"
rose wine (word emb.),"['sparkling wine', 'lemon balm', 'gooseberry', 'cherry brandy', 'citrus', 'red raspberry', 'black raspberry', 'tangerine', 'blackberry', 'black currant']"
rosemary (weighted),"['oregano', 'sage', 'marjoram', 'basil', 'thyme', 'black pepper', 'cumin', 'fennel', 'laurel', 'coriander']"
rosemary (n. moledules),"['ginger', 'oregano', 'basil', 'spearmint', 'black pepper', 'laurel', 'marjoram', 'sage', 'nutmeg', 'dill']"
rosemary (word emb.),"['marjoram', 'parsley', 'romano cheese', 'brussels sprout', 'capers', 'fennel', 'turnip', 'chard', 'artichoke', 'goat cheese']"
rum (weighted),"['milk', 'butter', 'cheese', 'port wine', 'swiss cheese', 'beer', 'blue cheese', 'cheddar cheese', 'parmesan cheese', 'camembert cheese']"
rum (n. moledules),"['beer', 'apple', 'tea', 'white wine', 'sherry', 'cocoa', 'chocolate', 'red wine', 'malt whisky', 'grape']"
rum (word emb.),"['cherry brandy', 'sour cherry', 'gooseberry', 'passionfruit', 'guava', 'blackberry brandy', 'prickly pear', 'red raspberry', 'black tea', 'angelica']"
rutabaga (weighted),"['chard', 'dates', 'turnip', 'dandelion', 'chicory', 'mung bean', 'radish', 'horseradish', 'watercress', 'japanese pumpkin']"
rutabaga (n. moledules),"['tomato', 'green beans', 'apple', 'orange', 'broccoli', 'soybean', 'celery', 'cocoa', 'chocolate', 'olive oil']"
rutabaga (word emb.),"['turnip', 'parsnip', 'summer savory', 'kohlrabi', 'brussels sprout', 'leek', 'chestnut', 'celery', 'lima beans', 'barley']"
rye (weighted),"['dates', 'chard', 'pumpkin', 'alfalfa', 'chervil', 'japanese pumpkin', 'turnip', 'cassava', 'artichoke', 'dandelion']"
rye (n. moledules),"['barley', 'oats', 'peas', 'green beans', 'corn', 'rice', 'beetroot', 'potato', 'pepper', 'wheat']"
rye (word emb.),"['hops', 'milk powder', 'malt', 'rye bread', 'carob', 'buckwheat', 'flaxseed', 'poppy seed', 'caraway', 'lean fish']"
rye bread (weighted),"['wholewheat bread', 'popcorn', 'cod', 'sake', 'shrimp', 'buttermilk', 'vinegar', 'milk powder', 'wine', 'beer']"
rye bread (n. moledules),"['beer', 'tea', 'mango', 'coffee', 'grape', 'wine', 'soybean', 'cocoa', 'tomato', 'sherry']"
rye bread (word emb.),"['horseradish', 'rye', 'smoked fish', 'caraway', 'white bread', 'garden cress', 'munster cheese', 'cottonseed', 'alfalfa', 'ham']"
safflower (weighted),"['artichoke', 'alfalfa', 'chervil', 'cassava', 'sweet potato', 'pumpkin', 'lentils', 'rye', 'dates', 'mung bean']"
safflower (n. moledules),"['tea', 'guava', 'laurel', 'ginger', 'tomato', 'orange', 'apricot', 'spearmint', 'basil', 'black pepper']"
safflower (word emb.),"['buckwheat', 'arrowroot', 'carob', 'canola oil', 'soybean', 'malt', 'wasabi', 'kelp', 'lotus', 'flaxseed']"
saffron (weighted),"['turmeric', 'cumin', 'tarragon', 'sage', 'summer savory', 'arrowroot', 'borage', 'anise', 'capers', 'lemon grass']"
saffron (n. moledules),"['ginger', 'cardamom', 'marjoram', 'coriander', 'oregano', 'rosemary', 'nutmeg', 'dill', 'basil', 'sage']"
saffron (word emb.),"['basmati rice', 'clam', 'scallop', 'okra', 'squid', 'fennel', 'turmeric', 'cod', 'anise', 'cashew nut']"
sage (weighted),"['cumin', 'marjoram', 'thyme', 'saffron', 'tarragon', 'turmeric', 'summer savory', 'oregano', 'rosemary', 'fennel']"
sage (n. moledules),"['rosemary', 'oregano', 'spearmint', 'black pepper', 'basil', 'marjoram', 'ginger', 'laurel', 'nutmeg', 'cinnamon']"
sage (word emb.),"['summer savory', 'parsnip', 'marjoram', 'brussels sprout', 'port wine', 'gruyere cheese', 'chestnut', 'winter savory', 'rutabaga', 'turnip']"
sake (weighted),"['scallop', 'buttermilk', 'rye bread', 'shrimp', 'oyster', 'cod', 'whisky', 'pork', 'bonito', 'gin']"
sake (n. moledules),"['beer', 'sherry', 'cocoa', 'apple', 'chocolate', 'wine', 'white wine', 'port wine', 'rum', 'rose wine']"
sake (word emb.),"['bonito', 'burdock', 'lotus', 'wasabi', 'kelp', 'water chestnut', 'oyster', 'peanut oil', 'shiitake', 'sesame']"
salmon (weighted),"['cod', 'buttermilk', 'turkey', 'bonito', 'sake', 'milk powder', 'milk fat', 'soy sauce', 'squid', 'gin']"
salmon (n. moledules),"['peas', 'tea', 'peanut butter', 'pork', 'caviar', 'wholewheat bread', 'peanut', 'tomato', 'chicken', 'rice']"
salmon (word emb.),"['crab', 'scallop', 'radish', 'sorrel', 'cod', 'chervil', 'tarragon', 'shrimp', 'caviar', 'wasabi']"
sapodilla (weighted),"['feijoa', 'lentils', 'japanese persimmon', 'pistachio', 'chickpea', 'shiitake', 'jackfruit', 'chervil', 'macadamia nut', 'carob']"
sapodilla (n. moledules),"['tea', 'peach', 'beans', 'peanut', 'strawberry', 'peanut butter', 'green beans', 'macadamia nut', 'bilberry', 'chocolate']"
sapodilla (word emb.),"['bilberry', 'durian', 'cloudberry', 'garden cress', 'valerian', 'japanese whisky', 'feijoa', 'pummelo', 'wheaten bread', 'canadian whisky']"
sassafras (weighted),"['myrtle', 'citronella', 'mace', 'lavender', 'eucalyptus', 'bergamot', 'citrus', 'jasmine', 'citrus zest', 'basmati rice']"
sassafras (n. moledules),"['nutmeg', 'coriander', 'dill', 'rosemary', 'lovage', 'laurel', 'cardamom', 'black pepper', 'basil', 'cinnamon']"
sassafras (word emb.),"['sheep cheese', 'fatty fish', 'sapodilla', 'litchi', 'feijoa', 'pummelo', 'valerian', 'soursop', 'lean fish', 'goat milk']"
satsuma orange (weighted),"['grapefruit zest', 'mandarin orange zest', 'lemon zest', 'green tea', 'cider', 'tangerine', 'scotch whisky', 'bartlett pear', 'malt', 'honey']"
satsuma orange (n. moledules),"['orange', 'lemon zest', 'mandarin orange zest', 'black currant', 'pineapple', 'grapefruit', 'cheddar cheese', 'rosemary', 'apple', 'passionfruit']"
satsuma orange (word emb.),"['plum brandy', 'litchi', 'cherimoya', 'canadian whisky', 'feijoa', 'soursop', 'malt whisky', 'japanese whisky', 'wild cherry', 'pummelo']"
scallop (weighted),"['shrimp', 'sake', 'cheese', 'egg', 'crayfish', 'squid', 'wholewheat bread', 'camembert cheese', 'comte cheese', 'provolone cheese']"
scallop (n. moledules),"['beer', 'tea', 'rice', 'mushroom', 'potato', 'cocoa', 'chocolate', 'coffee', 'soybean', 'parmesan cheese']"
scallop (word emb.),"['squid', 'crab', 'clam', 'crayfish', 'cod', 'asparagus', 'tarragon', 'salmon', 'oyster', 'chervil']"
scotch whisky (weighted),"['canadian whisky', 'bourbon whisky', 'malt whisky', 'whisky', 'japanese whisky', 'plum wine', 'rose wine', 'port wine', 'champagne', 'plum brandy']"
scotch whisky (n. moledules),"['bourbon whisky', 'malt whisky', 'japanese whisky', 'whisky', 'canadian whisky', 'rum', 'sherry', 'beer', 'white wine', 'red wine']"
scotch whisky (word emb.),"['raspberry brandy', 'blackberry brandy', 'cherry brandy', 'sour cherry', 'cherimoya', 'loganberry', 'red raspberry', 'satsuma orange', 'black raspberry', 'canadian whisky']"
sesame (weighted),"['flaxseed', 'cassava', 'rye', 'artichoke', 'dates', 'alfalfa', 'sweet potato', 'chicory', 'chervil', 'chard']"
sesame (n. moledules),"['chocolate', 'cocoa', 'tea', 'soybean', 'rice', 'peanut', 'potato', 'peanut butter', 'mushroom', 'asparagus']"
sesame (word emb.),"['sake', 'water chestnut', 'mung bean', 'peanut oil', 'wasabi', 'bonito', 'lotus', 'jasmine', 'kelp', 'burdock']"
shallot (weighted),"['borage', 'capers', 'arrowroot', 'wasabi', 'water chestnut', 'carob', 'black raspberry', 'kelp', 'persimmon', 'japanese persimmon']"
shallot (n. moledules),"['chive', 'onion', 'leek', 'peanut butter', 'peanut', 'garlic', 'potato', 'guava', 'tomato', 'cabbage']"
shallot (word emb.),"['chervil', 'scallop', 'truffle', 'endive', 'squid', 'dandelion', 'tarragon', 'watercress', 'asparagus', 'chicory']"
sheep cheese (weighted),"['goat cheese', 'feta cheese', 'romano cheese', 'roquefort cheese', 'munster cheese', 'mozzarella cheese', 'provolone cheese', 'emmental cheese', 'comte cheese', 'cream cheese']"
sheep cheese (n. moledules),"['goat cheese', 'romano cheese', 'parmesan cheese', 'provolone cheese', 'cheddar cheese', 'cheese', 'gruyere cheese', 'roquefort cheese', 'swiss cheese', 'cottage cheese']"
sheep cheese (word emb.),"['limburger cheese', 'bilberry', 'plumcot', 'wheaten bread', 'soursop', 'wild cherry', 'canadian whisky', 'valerian', 'feijoa', 'japanese whisky']"
sheep milk (weighted),"['goat milk', 'wheaten bread', 'caviar', 'milk fat', 'corn oil', 'milk powder', 'mate', 'crayfish', 'fatty fish', 'currant']"
sheep milk (n. moledules),"['goat milk', 'coffee', 'tea', 'gruyere cheese', 'butter', 'sparkling wine', 'rice', 'beer', 'raspberry', 'mozzarella cheese']"
sheep milk (word emb.),"['valerian', 'cloudberry', 'bilberry', 'wheaten bread', 'limburger cheese', 'durian', 'sapodilla', 'garden cress', 'pummelo', 'citronella']"
sherry (weighted),"['port wine', 'wine', 'plum wine', 'champagne', 'rose wine', 'red wine', 'strawberry wine', 'sparkling wine', 'white wine', 'beer']"
sherry (n. moledules),"['white wine', 'wine', 'red wine', 'port wine', 'strawberry wine', 'sparkling wine', 'rose wine', 'plum wine', 'champagne', 'beer']"
sherry (word emb.),"['oyster', 'rice', 'sake', 'shiitake', 'white wine', 'champagne', 'wasabi', 'sesame', 'water chestnut', 'scallop']"
shiitake (weighted),"['chervil', 'alfalfa', 'jackfruit', 'pumpkin', 'wasabi', 'feijoa', 'water chestnut', 'artichoke', 'lentils', 'kelp']"
shiitake (n. moledules),"['guava', 'peas', 'soybean', 'rice', 'mushroom', 'lima beans', 'plum', 'tomato', 'melon', 'cocoa']"
shiitake (word emb.),"['sake', 'oyster', 'bonito', 'burdock', 'lotus', 'chestnut', 'water chestnut', 'peanut oil', 'soybean', 'leek']"
shrimp (weighted),"['scallop', 'cheese', 'crab', 'egg', 'camembert cheese', 'crayfish', 'provolone cheese', 'comte cheese', 'feta cheese', 'sheep cheese']"
shrimp (n. moledules),"['tea', 'beer', 'coffee', 'soybean', 'potato', 'chocolate', 'cocoa', 'mushroom', 'tomato', 'rice']"
shrimp (word emb.),"['squid', 'cod', 'clam', 'oyster', 'salmon', 'scallop', 'jasmine', 'crab', 'fish', 'lemon grass']"
skimmed milk (weighted),"['basmati rice', 'malt whisky', 'guava', 'mango', 'safflower', 'beer', 'broccoli', 'asparagus', 'mozzarella cheese', 'coconut']"
skimmed milk (n. moledules),"['white wine', 'persimmon', 'asparagus', 'kelp', 'broccoli', 'mozzarella cheese', 'guava', 'grape', 'apricot', 'malt whisky']"
skimmed milk (word emb.),"['cloudberry', 'durian', 'japanese whisky', 'sapodilla', 'valerian', 'litchi', 'pummelo', 'canadian whisky', 'wild cherry', 'bilberry']"
smoked fish (weighted),"['kidney beans', 'popcorn', 'mate', 'malt', 'rye bread', 'bonito', 'coffee', 'tobacco', 'parmesan cheese', 'peanut butter']"
smoked fish (n. moledules),"['tea', 'beer', 'cocoa', 'chocolate', 'coffee', 'soybean', 'rum', 'tomato', 'bourbon whisky', 'mango']"
smoked fish (word emb.),"['caviar', 'crayfish', 'crab', 'garden cress', 'rye bread', 'salmon', 'cottonseed', 'lean fish', 'comte cheese', 'limburger cheese']"
sorrel (weighted),"['chestnut', 'mung bean', 'japanese pumpkin', 'dates', 'chard', 'dandelion', 'chicory', 'turnip', 'watercress', 'alfalfa']"
sorrel (n. moledules),"['parsley', 'avocado', 'sunflower', 'fennel', 'quince', 'oats', 'tomato', 'potato', 'carrot', 'celery']"
sorrel (word emb.),"['chervil', 'caviar', 'dandelion', 'lovage', 'salmon', 'tarragon', 'watercress', 'kohlrabi', 'endive', 'chive']"
sour cherry (weighted),"['arrowroot', 'cherry', 'borage', 'capers', 'ginkgo nuts', 'carob', 'shallot', 'water chestnut', 'fenugreek', 'kelp']"
sour cherry (n. moledules),"['tea', 'apple', 'grape', 'guava', 'tomato', 'potato', 'mango', 'peach', 'cocoa', 'chocolate']"
sour cherry (word emb.),"['cherry brandy', 'angelica', 'malt whisky', 'satsuma orange', 'cherimoya', 'blackberry brandy', 'gooseberry', 'elderberry', 'red raspberry', 'black raspberry']"
soursop (weighted),"['wasabi', 'water chestnut', 'borage', 'japanese persimmon', 'kelp', 'arrowroot', 'capers', 'burdock', 'carob', 'jackfruit']"
soursop (n. moledules),"['papaya', 'strawberry', 'pineapple', 'apple', 'passionfruit', 'guava', 'tea', 'plum', 'grape', 'chocolate']"
soursop (word emb.),"['feijoa', 'cherimoya', 'litchi', 'japanese whisky', 'canadian whisky', 'white currant', 'wild cherry', 'pummelo', 'satsuma orange', 'malt whisky']"
soy sauce (weighted),"['cod', 'turkey', 'buttermilk', 'wholewheat bread', 'milk powder', 'yogurt', 'gin', 'crab', 'sake', 'rye bread']"
soy sauce (n. moledules),"['tea', 'soybean', 'grape', 'guava', 'mango', 'pepper', 'pineapple', 'green beans', 'mushroom', 'chocolate']"
soy sauce (word emb.),"['peanut oil', 'mung bean', 'soybean', 'water chestnut', 'oyster', 'jasmine', 'cabbage', 'sake', 'lotus', 'wasabi']"
soybean (weighted),"['rice', 'oats', 'asparagus', 'sesame', 'endive', 'olive oil', 'green beans', 'mushroom', 'buckwheat', 'tomato']"
soybean (n. moledules),"['tea', 'chocolate', 'cocoa', 'rice', 'tomato', 'potato', 'mushroom', 'apple', 'peanut butter', 'peanut']"
soybean (word emb.),"['mung bean', 'kelp', 'lotus', 'burdock', 'bonito', 'peanut oil', 'water chestnut', 'oyster', 'sake', 'wasabi']"
soybean oil (weighted),"['caviar', 'fatty fish', 'peanut butter', 'raisin', 'salmon', 'peanut', 'turkey', 'kidney beans', 'butter', 'lingonberry']"
soybean oil (n. moledules),"['mango', 'butter', 'caviar', 'safflower', 'tomato', 'peanut', 'strawberry', 'peas', 'fatty fish', 'peanut butter']"
soybean oil (word emb.),"['kelp', 'bonito', 'lotus', 'burdock', 'corn oil', 'canola oil', 'wasabi', 'sesame', 'rice', 'peanut oil']"
sparkling wine (weighted),"['champagne', 'strawberry wine', 'plum wine', 'rose wine', 'port wine', 'sherry', 'red wine', 'wine', 'white wine', 'malt whisky']"
sparkling wine (n. moledules),"['white wine', 'sherry', 'port wine', 'red wine', 'strawberry wine', 'plum wine', 'rose wine', 'champagne', 'wine', 'beer']"
sparkling wine (word emb.),"['rose wine', 'lemon balm', 'kumquat', 'cherry brandy', 'red raspberry', 'elderberry', 'tangerine', 'black raspberry', 'citrus', 'black currant']"
spearmint (weighted),"['sage', 'basil', 'marjoram', 'thyme', 'cumin', 'oregano', 'rosemary', 'coriander', 'turmeric', 'saffron']"
spearmint (n. moledules),"['rosemary', 'peppermint', 'basil', 'oregano', 'laurel', 'black pepper', 'tea', 'ginger', 'dill', 'celery']"
spearmint (word emb.),"['lemon balm', 'eucalyptus', 'green tea', 'chamomile', 'black tea', 'tea', 'sparkling wine', 'licorice', 'bergamot', 'citrus']"
spinach (weighted),"['endive', 'japanese pumpkin', 'artichoke', 'sweet potato', 'chard', 'pumpkin', 'dates', 'turnip', 'wheat', 'garden cress']"
spinach (n. moledules),"['tea', 'soybean', 'tomato', 'corn', 'grape', 'green beans', 'peas', 'oats', 'rice', 'melon']"
spinach (word emb.),"['asparagus', 'olive', 'brussels sprout', 'eggplant', 'broccoli', 'artichoke', 'basil', 'cauliflower', 'parsley', 'romano cheese']"
squid (weighted),"['scallop', 'egg', 'shrimp', 'crab', 'milk powder', 'cheese', 'bonito', 'wholewheat bread', 'sake', 'rum']"
squid (n. moledules),"['coffee', 'beer', 'rice', 'chocolate', 'cocoa', 'tea', 'potato', 'mushroom', 'peanut butter', 'peanut']"
squid (word emb.),"['scallop', 'clam', 'cod', 'shrimp', 'lemon grass', 'crayfish', 'crab', 'oyster', 'jasmine', 'okra']"
star anise (weighted),"['cumin', 'anise', 'marjoram', 'summer savory', 'turmeric', 'sage', 'lovage', 'black pepper', 'fennel', 'winter savory']"
star anise (n. moledules),"['black pepper', 'ginger', 'laurel', 'basil', 'rosemary', 'nutmeg', 'dill', 'cinnamon', 'marjoram', 'oregano']"
star anise (word emb.),"['black tea', 'anise', 'tea', 'lemon grass', 'cassia', 'quince', 'burdock', 'tangerine', 'tamarind', 'cardamom']"
starfruit (weighted),"['plum', 'gooseberry', 'pear', 'avocado', 'litchi', 'prickly pear', 'olive oil', 'peach', 'tamarind', 'endive']"
starfruit (n. moledules),"['tea', 'apple', 'guava', 'mango', 'tomato', 'grape', 'strawberry', 'apricot', 'plum', 'peach']"
